id,user_id,title,description,category,startPrice,terminate_in_s,status
213ea718-bbbd-4c26-9d23-f8f80c10ff9e,a1c4330a-5f59-4271-ba4f-07b23f05b7e7,"Designer Handbag: Gucci Monogram Tote","Elevate your style with this luxurious Gucci Monogram Tote. Crafted with precision and style, it's the perfect accessory for fashion-forward individuals. Bid now and step out in elegance.","FASHION",1200,20,"ON_GOING"
aba15f04-429f-4c9d-b24e-03e0980593f1,a1c4330a-5f59-4271-ba4f-07b23f05b7e7,"Antique Pocket Watch: 19th Century Elegance","Experience the charm of a bygone era with this exquisite 19th-century pocket watch. Its intricate design and vintage allure make it a collector's gem. Don't miss your chance to own a piece of history.","OTHER",800,,"FINISHED"
709ce985-45a2-412d-bdcb-6568588833f7,ae0dc866-b246-40b1-bef0-62bef6a65bde,"Limited Edition Art Print: Starry Night","Bring a touch of Van Gogh into your home with this limited edition art print of 'Starry Night.' The vivid colors and swirling night sky will add a touch of magic to any room. Bid now and own a piece of art history.","ART",500,480,"ON_GOING"
d6def15d-d5c9-4b9f-831e-9326041240f6,c396a93c-e78b-48a8-8e21-8c59dafd0aa4,"Smart Home Bundle: Alexa, Nest, and More","Transform your home into a smart oasis with this bundle! Includes Amazon Alexa, Google Nest, and other top-notch smart devices. Bid today and enjoy the convenience and security of a smart home.","DEVICE",600,1680,"ON_GOING"
0552f6b7-4ad9-48ce-a17b-ade31322f3ad,6c34243c-8729-4179-ae6e-0a4ec24fb5d1,"2018 Honda Accord LX Sedan","Well-maintained, low mileage, silver sedan. Excellent fuel efficiency and modern features. Perfect for a comfortable commute.","VEHICLE",18500,687,"ON_GOING"
cef3c09c-86d4-4f93-84be-b9e29a4d7a7e,81149fd5-e526-42b5-9dcd-f2cd3239b230,"2020 Toyota RAV4 LE SUV","Sleek white SUV in excellent condition. Spacious interior, advanced safety features, and low mileage. Ideal for family adventures.","VEHICLE",26000,68,"ON_GOING"
b53576e7-5754-45ba-b7f7-74cf6b0e8b44,c0a85f5d-3795-4edd-af1a-c61e45483693,"Modern Downtown Apartment for Sale","2-bedroom, 2-bath stylish apartment with city views. Prime location near amenities and public transport. Perfect for urban living.","REAL ESTATE",350000,6827,"ON_GOING"
5b18f194-f7c1-43ba-a6f2-c4ad0248b8d5,00e303c0-00a5-495d-a72a-66168ddaef7d,"Charming Suburban Home","3-bedroom house with a spacious backyard. Quiet neighborhood, close to schools and parks. Ideal for a growing family.","REAL ESTATE",420000,617,"ON_GOING"
14a76cc4-d509-4a7b-a6e3-90adf8e30dc6,9a2d8b3b-db2a-4124-a64d-3d3d9286adc4,"Graco Convertible Crib with Mattress","White wooden crib in excellent condition. Converts to a toddler bed. Includes a comfortable mattress. Safe and stylish for your baby.","BABY",150,26,"ON_GOING"
127994a2-2e7a-4c63-8809-d23e2804bee9,ae8f905c-7acc-40ce-845a-4dad6b0e810b,"Chicco Bravo Trio Travel System","Complete travel system with stroller, car seat, and base. Easy to fold, versatile, and in great condition. Perfect for on-the-go parents.","BABY",250,68,"FINISHED"
b8cc994f-5009-434c-94b1-0d87bfd8b90c,1e317e5b-1afe-4c9f-be53-d71e01d8f742,"Original Abstract Canvas Painting","Vibrant and unique abstract artwork by a local artist. Adds a pop of color to any room. Perfect for art enthusiasts.","ART",300,6825,"ON_GOING"
7021c8af-944d-4c35-927b-fe8955d37873,518c1b76-042f-4557-b5e5-5963be717e7a,"Limited Edition Photography Print","Breathtaking landscape photograph in a limited edition. High-quality print on archival paper. A stunning addition to your art collection.","ART",150,27827,"ON_GOING"
aa8f756f-aa19-41de-9b2e-052499065774,d1c74d0e-cd4d-4289-af4e-e89847d5915b,"Fender Stratocaster Electric Guitar","Classic sunburst finish electric guitar. Excellent sound and playability. Ideal for both beginners and seasoned musicians.","MUSIC",800,14,"ON_GOING"
f18ca6f1-805c-4a7b-ab07-a40632cca43d,8d50eef8-10a0-4c1b-a196-16708383e4e2,"Yamaha PSR-E363 Portable Keyboard","Versatile keyboard with touch-sensitive keys. Includes a stand and headphones. Perfect for learning and composing music.","MUSIC",250,378,"ON_GOING"
8c9fcb89-b114-4a62-9a8a-0004e1ea552b,1ec43ceb-1eab-4c5c-95fa-a599505d852b,"Apple iPhone 12 Pro","Latest model in excellent condition. Stunning camera, powerful performance, and sleek design. Unlocked for any carrier.","DEVICE",900,947,"ON_GOING"
14713e24-06d2-45aa-a335-55abc46dcef1,876aa190-4d53-42d4-8095-56fc68a4cbcf,"Samsung 55-inch 4K Smart TV","Immersive 4K resolution, smart TV functionality, and excellent condition. Perfect for home entertainment. Includes remote.","DEVICE",600,904,"FINISHED"
66b437cf-55c7-4af1-93b8-96b568f9a100,7ac052d3-cd0b-4562-bba3-8c3805614431,"John Deere Compact Tractor","Powerful and compact tractor in great condition. Perfect for small farms or landscaping projects. Includes attachments.","AGRICULTURE",15000,1093,"ON_GOING"
1fb18cef-df52-4968-9999-3f5a18d56a2e,3f37ff08-e969-4056-bf14-80634bee2f37,"Organic Vegetable Seeds Bundle","Assorted organic vegetable seeds for your garden. High-quality and non-GMO. Start your own homegrown produce.","AGRICULTURE",20,56,"ON_GOING"
a2dd485b-ed2b-4a39-ba82-224d95fa3406,cc4db92a-ed3c-4219-8804-e1ff9727d41f,"Purebred Labrador Puppies","Adorable and playful purebred Labrador puppies. Vet-checked, vaccinated, and ready for a loving home. Ideal family pets.","ANIMALS",800,736,"ON_GOING"
13b9d4a1-686a-443e-9ffa-3c8cf0058f0d,f52cd549-e32a-4405-b3e0-83e33230eb6e,"Quarter Horse Mare for Sale","Well-trained and gentle Quarter Horse mare. Suitable for riding or as a companion. Vaccinated and in good health.","ANIMALS",2500,3873,"ON_GOING"
498d2c2f-8873-4fb7-bda0-c713d30fb7b0,160a62ee-7b16-46fa-80b5-857a670762a7,"Peloton Exercise Bike","State-of-the-art Peloton bike in excellent condition. Live and on-demand classes, perfect for at-home workouts. Includes accessories.","SPORT",1500,1863,"ON_GOING"
f888026a-f262-40b2-9691-d05756d6856f,4aa768cc-77a5-4e24-bbec-e0e508460d45,"Callaway Golf Club Set","High-quality Callaway golf clubs, bag, and accessories. Perfect for golf enthusiasts. Ready for the golf course.","SPORT",700,73,"FINISHED"
c3d67982-9c67-45b8-afc0-533b2fbe78f0,a8ca28c3-1c92-4d8b-a1c8-1f94d29dbb33,"Designer Leather Handbag","Luxurious leather handbag by a renowned designer. Elegant and spacious. A stylish addition to your accessory collection.","FASHION",300,536,"ON_GOING"
20031a8d-c72f-4cf3-be16-fd872a360ea1,a2cef975-e055-48e7-b465-87d99b87e89d,"Men's Rolex Submariner Watch","Classic Rolex Submariner watch for men. Stainless steel, automatic movement. Timeless elegance and precision.","FASHION",8000,457,"ON_GOING"
6991cf12-e464-47f8-98e4-1f0fa7f814a5,7c97bfbd-2ac9-4436-8a1b-c3d142ddab1b,"Mid-Century Modern Dining Table","Beautiful mid-century modern dining table. Solid wood construction, elegant design. Seats six comfortably.","FURNITURE",600,375,"FINISHED"
f80cef88-b701-423b-ad07-221e63c613b6,97c1ffc5-4bc4-4744-a3b8-f37213f611f4,"Leather Reclining Sofa Set","Comfortable and stylish leather sofa set with reclining features. Excellent condition, perfect for your living room.","FURNITURE",1200,98,"ON_GOING"
c1027059-4f7c-42ad-82d6-a6d0dc695123,dc0c8605-4664-4785-813f-54c0d27a140c,"DJI Mavic Air 2 Drone","Compact and powerful drone with advanced features. 4K camera, intelligent shooting modes. Perfect for aerial photography and videography.","OTHER",800,73,"ON_GOING"
7c426117-4444-48e3-bdbe-2ec14d0d7a48,76483966-6466-4ad0-9ba9-25b0593a8dda,"Home Gym Equipment Bundle","Complete home gym set including weights, bench, and accessories. Ideal for a full-body workout at home.","OTHER",500,733,"ON_GOING"
3facbdf9-7e8e-4bc8-911f-a84665f55f59,002857de-04de-4498-b43f-32dc2af32374,"2019 Ford Mustang GT Coupe","Sleek red Mustang GT with low mileage. V8 engine, excellent condition, and a thrilling driving experience.","VEHICLE",35000,1946,"ON_GOING"
6b95b045-88a0-458e-887a-91dfe4876275,1ca86d2b-7eff-4184-b2b0-46f636613639,"2017 Toyota Prius Hybrid","Fuel-efficient Prius in great condition. Hybrid technology, low emissions, and well-maintained.","VEHICLE",18000,1623,"ON_GOING"
0d134f06-fe25-44dd-9ad1-edfdcb0da8c6,6034b6b6-0222-4e8c-a236-2a6e5ca84a8e,"Spacious Beachfront Condo","Luxurious 2-bedroom beachfront condo with panoramic ocean views. Fully furnished and ready for occupancy.","REAL ESTATE",500000,610,"ON_GOING"
af14798c-9740-4490-ac6a-e9764d390434,8f8a2ffb-3f5c-4e13-b774-a66cd3affaa7,"Rural Farmhouse with Acreage","Charming farmhouse on 10 acres of land. Perfect for those seeking a peaceful rural lifestyle.","REAL ESTATE",300000,1167,"ON_GOING"
d6b7f131-4fc5-4259-ac22-d2ea98c10418,6c34243c-8729-4179-ae6e-0a4ec24fb5d1,"Stokke Xplory Stroller","High-quality stroller with adjustable height and reversible seat. Stylish and comfortable for your baby.","BABY",500,853,"FINISHED"
11b9e8db-d42b-43f7-bca0-1f836c36bb6d,81149fd5-e526-42b5-9dcd-f2cd3239b230,"Fisher-Price Baby Swing","Gently used baby swing with soothing music and multiple swing speeds. Perfect for a happy and relaxed baby.","BABY",50,1650,"ON_GOING"
72d3a21a-d3c0-479b-83f1-65f7fc1a781b,c0a85f5d-3795-4edd-af1a-c61e45483693,"Original Oil Painting - Cityscape","Beautiful cityscape oil painting by a local artist. Vibrant colors and detailed brushwork.","ART",700,77,"ON_GOING"
8a197f50-dd5d-4764-aab5-2727a17abaed,00e303c0-00a5-495d-a72a-66168ddaef7d,"Abstract Sculpture - Contemporary Art","Unique contemporary sculpture crafted from metal and wood. A striking addition to any art collection.","ART",400,1783,"ON_GOING"
157b94df-bc0c-406f-abcf-c9e11b028929,9a2d8b3b-db2a-4124-a64d-3d3d9286adc4,"Fender Jazz Bass Guitar","Classic Fender Jazz Bass in excellent condition. Versatile sound, perfect for bass players.","MUSIC",800,1675,"ON_GOING"
2aedde0f-89fb-42b1-8e89-02a67ac816a6,ae8f905c-7acc-40ce-845a-4dad6b0e810b,"Yamaha Acoustic Guitar","Quality Yamaha acoustic guitar with a rich tone. Ideal for beginners and experienced players.","MUSIC",300,951,"FINISHED"
1838a280-4e11-471e-bfe1-42d87ba7c833,1e317e5b-1afe-4c9f-be53-d71e01d8f742,"Samsung Galaxy S21 Smartphone","Latest model smartphone in pristine condition. Powerful features and unlocked for any carrier.","DEVICE",900,1315,"ON_GOING"
7e704b61-c40d-4886-812b-642a587dd938,518c1b76-042f-4557-b5e5-5963be717e7a,"Apple MacBook Pro 13-inch","Well-maintained MacBook Pro with Retina display. Fast performance, perfect for work or creative projects.","DEVICE",1200,1376,"ON_GOING"
4fc2605c-1df1-49a1-a766-1818c8c0dfe9,d1c74d0e-cd4d-4289-af4e-e89847d5915b,"John Deere Riding Lawn Mower","Reliable riding lawn mower in excellent condition. Perfect for maintaining large yards or lawns.","AGRICULTURE",1500,1652,"ON_GOING"
d5df1bad-b17a-4ae7-b333-0b24a7f9267c,8d50eef8-10a0-4c1b-a196-16708383e4e2,"Organic Honey Beehives","Well-established beehives producing organic honey. Includes all equipment. Ideal for beekeeping enthusiasts.","AGRICULTURE",300,1128,"ON_GOING"
39f60ce3-3375-4965-88c5-ca8d22d7cdd4,1ec43ceb-1eab-4c5c-95fa-a599505d852b,"Adorable French Bulldog Puppy","Playful and adorable French Bulldog puppy. AKC registered, vaccinated, and family-raised.","ANIMALS",2000,1250,"ON_GOING"
fbb1155e-59d4-423c-8282-cce7b75892c5,876aa190-4d53-42d4-8095-56fc68a4cbcf,"Tennessee Walking Horse","Gentle and well-trained Tennessee Walking Horse. Perfect for trail riding. Vet-checked and up-to-date on vaccinations.","ANIMALS",4500,977,"ON_GOING"
9605571b-971a-4f88-a9f5-7cdba956a570,7ac052d3-cd0b-4562-bba3-8c3805614431,"Peloton Tread+","Top-of-the-line Peloton treadmill with live and on-demand classes. Impeccable condition, great for home workouts.","SPORT",2000,1334,"ON_GOING"
9e919dee-ffd6-4bc8-ad22-602613f0cfd1,3f37ff08-e969-4056-bf14-80634bee2f37,"Wilson Pro Staff Tennis Racket","High-quality tennis racket with a sleek design. Ideal for intermediate to advanced players.","SPORT",150,1365,"ON_GOING"
af77cc65-b2b7-470c-bae9-49e495704f44,cc4db92a-ed3c-4219-8804-e1ff9727d41f,"Designer Leather Jacket","Stylish leather jacket by a renowned designer. Excellent condition and a timeless addition to your wardrobe.","FASHION",400,754,"ON_GOING"
0d1e5162-5294-432c-abbc-2d53fec525cf,f52cd549-e32a-4405-b3e0-83e33230eb6e,"Rolex Day-Date President Watch","Classic Rolex Day-Date President watch. 18k gold, automatic movement. A symbol of luxury and elegance.","FASHION",15000,1574,"ON_GOING"
559d3d40-3fd9-47d4-af5a-a8bbde676ec1,2f117119-5cf7-42d2-884a-63653f2dd5b8,"2015 Honda Civic LX Sedan","Reliable Civic sedan with low mileage. Great fuel efficiency and well-maintained.","VEHICLE",15000,1408,"ON_GOING"
25abab4e-4363-4390-91df-018069b6fd94,e84d89b1-4557-4a72-aaf7-90edea52a192,"2016 Chevrolet Equinox SUV","Spacious and comfortable Equinox with modern features. Perfect for family trips.","VEHICLE",20000,1142,"ON_GOING"
024b1913-2c25-46e5-b0f7-780c1cea3eaf,ae0dc866-b246-40b1-bef0-62bef6a65bde,"Cozy Urban Apartment","1-bedroom apartment in the heart of the city. Convenient location with nearby amenities.","REAL ESTATE",120000,609,"FINISHED"
470bc724-6d6a-456d-b2ed-6194a5ad9dc2,428dacd2-4581-43be-ae25-33c452b2a585,"Country Cottage with Garden","Quaint 2-bedroom cottage with a beautiful garden. Ideal for a peaceful rural lifestyle.","REAL ESTATE",80000,1243,"ON_GOING"
072ae5ad-a285-4f24-8429-9c0a25ce38c5,a1c4330a-5f59-4271-ba4f-07b23f05b7e7,"Graco Pack 'n Play Playard","Portable playard with bassinet and changing station. Easy to fold and perfect for travel.","BABY",80,392,"ON_GOING"
28c93443-9af0-42e7-9267-70930ca102c2,a6b57d2a-8f86-4697-987b-bd7a7e758b42,"Chicco KeyFit 30 Infant Car Seat","Safe and comfortable infant car seat with easy installation. Excellent condition.","BABY",100,577,"ON_GOING"
cf11e2e6-5739-4a9d-8df1-54274105fccc,0074d48d-6a07-4060-b981-4b7cef5a35aa,"Digital Art Print - Abstract","High-quality digital print of an abstract artwork. Ready for framing and display.","ART",50,772,"ON_GOING"
899d29d0-a678-4831-8afb-3cd35abeca58,c396a93c-e78b-48a8-8e21-8c59dafd0aa4,"Sculpture - Bronze Figurine","Elegant bronze figurine sculpture. Perfect for art lovers and collectors.","ART",300,1871,"ON_GOING"
77adab07-b29c-46a4-97cc-3e325440c152,cfc12ee8-af94-4424-b177-ecf54080abfa,"Roland Electronic Drum Kit","Professional-grade electronic drum kit with various sound options. Ideal for drummers of all levels.","MUSIC",800,1548,"FINISHED"
514bb4a7-a2d2-489b-817a-c1a1e820c1e0,002857de-04de-4498-b43f-32dc2af32374,"Vintage Vinyl Record Collection","Diverse collection of vintage vinyl records. Various genres and artists available.","MUSIC",200,1420,"ON_GOING"
3a906bef-6f11-4215-ad0f-d5c6b263b9ca,6034b6b6-0222-4e8c-a236-2a6e5ca84a8e,"Dell Inspiron Laptop","Reliable and well-maintained Dell laptop. Perfect for work or entertainment.","DEVICE",500,1249,"ON_GOING"
1f762e06-a468-4c9c-9388-06354c89001c,8f8a2ffb-3f5c-4e13-b774-a66cd3affaa7,"Amazon Kindle Paperwhite","High-resolution Kindle e-reader with built-in light. Great for avid readers.","DEVICE",100,131,"FINISHED"
7dd1f4ce-8944-401d-af20-d1e5f5c26d77,6c34243c-8729-4179-ae6e-0a4ec24fb5d1,"John Deere Compact Utility Tractor","Compact utility tractor with loader attachment. Versatile for various farm tasks.","AGRICULTURE",15000,180,"ON_GOING"
5013d802-f66b-4486-a02b-3ba9c7f1e97f,81149fd5-e526-42b5-9dcd-f2cd3239b230,"Organic Vegetable Seedlings","Healthy and organic vegetable seedlings ready for planting. Various varieties available.","AGRICULTURE",3,1264,"ON_GOING"
0a20841c-c390-4b58-8e90-899475585aa9,c0a85f5d-3795-4edd-af1a-c61e45483693,"Purebred Persian Kittens","Adorable Persian kittens with long fur and sweet personalities. Vet-checked and vaccinated.","ANIMALS",800,600,"ON_GOING"
1762433c-4993-43a3-959a-91e6a7c3bd68,00e303c0-00a5-495d-a72a-66168ddaef7d,"Quarter Horse Gelding","Well-trained and gentle Quarter Horse gelding. Suitable for riding or as a companion.","ANIMALS",4000,1854,"ON_GOING"
5e458502-3364-44ef-967a-8db870f5357b,9a2d8b3b-db2a-4124-a64d-3d3d9286adc4,"Bowflex Home Gym","Complete home gym system with various workout options. Perfect for strength training.","SPORT",800,422,"ON_GOING"
6d7f2f59-a889-4622-a7f7-bc093bddcd9d,ae8f905c-7acc-40ce-845a-4dad6b0e810b,"Golf Club Set - Callaway","Quality Callaway golf clubs, bag, and accessories. Great for golf enthusiasts.","SPORT",500,1794,"ON_GOING"
02a2a8d4-00b9-4877-9671-bbb72ca99ab7,1e317e5b-1afe-4c9f-be53-d71e01d8f742,"Vintage Leather Briefcase","Stylish vintage leather briefcase in excellent condition. Perfect for a classic professional look.","FASHION",100,1803,"ON_GOING"
2cd2a45b-b255-4fad-bafc-800640268e19,8d50eef8-10a0-4c1b-a196-16708383e4e2,"Designer Sunglasses - Ray-Ban","Iconic Ray-Ban sunglasses with UV protection. Classic aviator style.","FASHION",150,378,"FINISHED"
d6b97b09-dd18-4db4-b31b-dad843d4eba6,1ec43ceb-1eab-4c5c-95fa-a599505d852b,"Mid-Century Modern Coffee Table","Elegant mid-century modern coffee table. Solid wood construction.","FURNITURE",200,1165,"ON_GOING"
9e92470d-534f-4dae-b875-e66082acae27,876aa190-4d53-42d4-8095-56fc68a4cbcf,"Sectional Sofa with Ottoman","Comfortable sectional sofa with matching ottoman. Excellent condition.","FURNITURE",700,1749,"FINISHED"
4568e502-e4d1-497c-8346-7abeaf69b724,7ac052d3-cd0b-4562-bba3-8c3805614431,"DJI Mini 2 Drone","Compact and lightweight drone with 4K camera. Perfect for aerial photography and videography.","OTHER",400,1011,"ON_GOING"
e97432e6-6534-41f4-a984-a1bb9c22b0db,3f37ff08-e969-4056-bf14-80634bee2f37,"Portable Bluetooth Speaker","High-quality portable speaker with Bluetooth connectivity. Ideal for music on the go.","OTHER",50,1692,"ON_GOING"
5c2013c7-b00c-40ea-8eb6-c2ec54898256,cc4db92a-ed3c-4219-8804-e1ff9727d41f,"Camping Gear Bundle","Complete camping gear bundle with tent, sleeping bags, and cooking equipment.","OTHER",200,196,"ON_GOING"
f4a26f3f-24d3-48ef-9d59-10517f9e422c,f52cd549-e32a-4405-b3e0-83e33230eb6e,"Inflatable Stand-Up Paddleboard","Durable inflatable paddleboard with accessories. Great for water enthusiasts.","OTHER",300,1316,"ON_GOING"
0ae39a71-9d66-40c0-903c-5d1e6a7ede62,a8ca28c3-1c92-4d8b-a1c8-1f94d29dbb33,"Digital Camera - Nikon D3500","Entry-level DSLR camera in excellent condition. Perfect for photography enthusiasts.","OTHER",400,1158,"ON_GOING"
83758962-966a-4aef-b5e4-6ff86b86fd23,a2cef975-e055-48e7-b465-87d99b87e89d,"Electric Scooter - Xiaomi M365","Foldable electric scooter with long battery life. Ideal for commuting.","OTHER",300,1004,"FINISHED"
42913b1c-016f-4528-a88c-0420f18d91d9,7c97bfbd-2ac9-4436-8a1b-c3d142ddab1b,"2017 Nissan Altima Sedan","Reliable Altima with low mileage. Fuel-efficient and well-maintained.","VEHICLE",18000,126,"ON_GOING"
c20cf394-c66b-4280-8813-5dba4bbc9e0c,97c1ffc5-4bc4-4744-a3b8-f37213f611f4,"2019 Subaru Outback SUV","Versatile Outback with AWD. Spacious interior, modern features, and great for outdoor adventures.","VEHICLE",25000,275,"ON_GOING"
55acde26-5c3b-4dc7-905c-8398c7bc3f06,a8ca28c3-1c92-4d8b-a1c8-1f94d29dbb33,"Modern City Apartment - 2 Bedrooms","Contemporary 2-bedroom apartment in a prime urban location. Close to amenities and public transport.","REAL ESTATE",180000,1615,"ON_GOING"
1feffdf0-ef04-42d1-ac86-c3ff5a026b46,76483966-6466-4ad0-9ba9-25b0593a8dda,"Rustic Countryside Cabin","Charming cabin with scenic views. 3 bedrooms, surrounded by nature. Perfect for a peaceful retreat.","REAL ESTATE",120000,977,"FINISHED"
545231ea-e6f9-4b04-a676-4a358a434daf,76483966-6466-4ad0-9ba9-25b0593a8dda,"Graco DuoGlider Double Stroller","Double stroller with multiple seating options. Lightweight and easy to maneuver.","BABY",120,474,"ON_GOING"
032f164c-28cf-409e-9f78-41815cd462fe,e84d89b1-4557-4a72-aaf7-90edea52a192,"Fisher-Price Cradle 'n Swing","Comfortable baby swing with soothing music and swinging motions. Gently used and in excellent condition.","BABY",60,1210,"ON_GOING"
ac415b39-fd89-46d4-9ae4-12dc55f4cd4c,ae0dc866-b246-40b1-bef0-62bef6a65bde,"Original Watercolor Painting - Landscape","Beautiful watercolor landscape painting by a local artist. Professionally framed and ready to hang.","ART",200,20,"ON_GOING"
4b26b374-3992-4996-b883-6643e2df6348,428dacd2-4581-43be-ae25-33c452b2a585,"Abstract Metal Sculpture","Contemporary metal sculpture with abstract design. Adds a touch of sophistication to any space.","ART",150,1984,"ON_GOING"
567d67cc-5005-4a36-8221-9a1414ba356e,1ec43ceb-1eab-4c5c-95fa-a599505d852b,"Gibson Les Paul Electric Guitar","Classic Gibson Les Paul electric guitar. Excellent condition and rich, resonant tones.","MUSIC",1200,1475,"FINISHED"
d6f1418e-35db-4b85-be66-475c27bbc83b,a6b57d2a-8f86-4697-987b-bd7a7e758b42,"Roland FP-30 Digital Piano","Compact and versatile digital piano with weighted keys. Ideal for both beginners and experienced players.","MUSIC",600,884,"ON_GOING"
93721e76-03b9-4e27-90b2-603b6300e63e,6c34243c-8729-4179-ae6e-0a4ec24fb5d1,"Apple iPad Pro 12.9-inch (4th Gen)","Powerful iPad Pro with a large display. Perfect for work, entertainment, and creative projects.","DEVICE",800,219,"ON_GOING"
5d93a4e9-31c8-4218-9837-80f574a346b7,c396a93c-e78b-48a8-8e21-8c59dafd0aa4,"Sony 65-inch 4K OLED Smart TV","High-quality OLED TV with stunning 4K resolution. Smart features and excellent picture quality.","DEVICE",1500,1547,"ON_GOING"
0a43c8bb-84d8-47b6-93c9-599ab30d5483,cfc12ee8-af94-4424-b177-ecf54080abfa,"John Deere Riding Lawn Mower","Reliable riding lawn mower with powerful engine. Ideal for maintaining large lawns.","AGRICULTURE",2500,899,"ON_GOING"
dac3f1bc-d7e5-4baa-98cc-6615906d3a76,002857de-04de-4498-b43f-32dc2af32374,"Organic Heirloom Tomato Seeds","High-quality heirloom tomato seeds for your garden. Non-GMO and perfect for organic gardening.","AGRICULTURE",5,1277,"ON_GOING"
9736eb40-582b-4549-93c1-36b6e46ee639,1ca86d2b-7eff-4184-b2b0-46f636613639,"Labrador Retriever Puppies","Adorable Labrador puppies in chocolate and black. AKC registered, vaccinated, and family-raised.","ANIMALS",1000,457,"FINISHED"
50b4b1fe-8eec-4b16-af7d-e1e8438b3916,6034b6b6-0222-4e8c-a236-2a6e5ca84a8e,"Arabian Horse Mare","Gentle and well-trained Arabian horse mare. Perfect for riding and companion","ANIMALS",5000,319,"ON_GOING"
ca3c8560-c0a0-4dff-a867-466e49816962,8f8a2ffb-3f5c-4e13-b774-a66cd3affaa7,"Bowflex Max Trainer M7","State-of-the-art elliptical trainer with high-intensity workouts. Compact design for home fitness.","SPORT",1500,953,"ON_GOING"
3760029d-e8c1-45d1-aa34-13780c826641,6c34243c-8729-4179-ae6e-0a4ec24fb5d1,"Wilson Pro Staff RF97 Tennis Racket","Professional tennis racket used by Roger Federer. Excellent condition and great for advanced players.","SPORT",200,999,"FINISHED"
09e619e1-ce13-45de-a06c-478792330558,81149fd5-e526-42b5-9dcd-f2cd3239b230,"Leather Biker Jacket","Stylish leather biker jacket in excellent condition. Adds a touch of edge to your wardrobe.","FASHION",120,40,"ON_GOING"
e1148ea2-1194-4016-bb81-31e436411efa,c0a85f5d-3795-4edd-af1a-c61e45483693,"Rolex Explorer II Watch","Classic Rolex Explorer II watch. Stainless steel, automatic movement. Timeless and versatile.","FASHION",8000,391,"ON_GOING"
